SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2009192N16130,UNNAMED,2009,2009-07-11,2009-07-14,2
2009196N14129,MOLAVE,2009,2009-07-15,2009-07-20,4
2009213N16130,GONI,2009,2009-07-31,2009-08-11,9
2009215N20133,MORAKOT,2009,2009-08-05,2009-08-09,2
2009251N16118,MUJIGAE,2009,2009-09-07,2009-09-13,5
2009254N14130,KOPPU,2009,2009-09-11,2009-09-16,4
2009268N14128,KETSANA,2009,2009-09-24,2009-10-01,6
2009270N10148,PARMA,2009,2009-10-01,2009-10-15,13
2009291N16111,UNNAMED,2009,2009-10-17,2009-10-21,3
2009287N10154,LUPIT,2009,2009-10-21,2009-10-25,3
2009299N12153,MIRINAE,2009,2009-10-29,2009-11-03,4
2009305N14134,UNNAMED,2009,2009-11-01,2009-11-04,1
2009328N06108,UNNAMED,2009,2009-11-23,2009-11-26,2
2010018N07113,UNNAMED,2010,2010-01-17,2010-01-21,3
2010191N12138,CONSON,2010,2010-07-12,2010-07-19,6
2010198N15123,CHANTHU,2010,2010-07-16,2010-07-24,7
2010218N20127,DIANMU,2010,2010-08-05,2010-08-09,2
2010233N17119,MINDULLE,2010,2010-08-19,2010-08-26,5
2010239N15118,LIONROCK,2010,2010-08-25,2010-09-05,9
2010241N25125,NAMTHEUN,2010,2010-08-28,2010-09-01,3
2010249N24125,MERANTI,2010,2010-09-05,2010-09-10,4
2010256N17137,FANAPI,2010,2010-09-17,2010-09-22,4
2010278N18110,UNNAMED,2010,2010-10-03,2010-10-11,6
2010285N13145,MEGI,2010,2010-10-16,2010-10-24,7
2010305N06105,JAL,2010,2010-10-30,2010-11-02,2
2010315N14112,UNNAMED,2010,2010-11-09,2010-11-15,5
2010346N09115,UNNAMED,2010,2010-12-10,2010-12-15,3
2011091N09112,UNNAMED,2011,2011-03-31,2011-04-04,3
2011126N11129,AERE,2011,2011-05-06,2011-05-11,4
2011140N08142,SONGDA,2011,2011-05-25,2011-05-29,2
2011151N19116,UNNAMED,2011,2011-05-30,2011-06-02,2
2011159N13122,SARIKA,2011,2011-06-07,2011-06-12,4
2011167N08129,HAIMA,2011,2011-06-17,2011-06-26,8
2011172N11133,MEARI,2011,2011-06-23,2011-06-25,1
2011205N12130,NOCK-TEN,2011,2011-07-24,2011-08-01,6
2011233N12129,NANMADOL,2011,2011-08-24,2011-09-01,7
2011267N16111,HAITANG,2011,2011-09-22,2011-09-28,4
2011266N13139,NESAT,2011,2011-09-25,2011-10-01,5
2011270N18139,NALGAE,2011,2011-09-29,2011-10-06,5
2011282N08136,BANYAN,2011,2011-10-10,2011-10-16,4
2011311N13111,UNNAMED,2011,2011-11-05,2011-11-11,4
2011338N06114,UNNAMED,2011,2011-12-02,2011-12-06,2
2011344N12117,UNNAMED,2011,2011-12-08,2011-12-14,5
2011346N03156,WASHI,2011,2011-12-15,2011-12-20,3
2012046N08130,UNNAMED,2012,2012-02-14,2012-02-22,6
2012086N10116,PAKHAR,2012,2012-03-25,2012-04-03,8
2012152N12130,MAWAR,2012,2012-05-31,2012-06-04,2
2012168N19112,TALIM,2012,2012-06-15,2012-06-21,5
2012177N11135,DOKSURI,2012,2012-06-26,2012-07-01,3
2012201N15129,VICENTE,2012,2012-07-18,2012-07-26,6
2012209N11131,SAOLA,2012,2012-07-28,2012-08-03,4
2012225N16133,KAI-TAK,2012,2012-08-13,2012-08-19,5
2012230N21126,TEMBIN,2012,2012-08-17,2012-08-29,10
2012263N15141,JELAWAT,2012,2012-09-26,2012-09-29,2
2012273N13112,GAEMI,2012,2012-09-28,2012-10-08,9
2012296N06135,SON-TINH,2012,2012-10-23,2012-10-30,6
2012317N07118,UNNAMED,2012,2012-11-11,2012-11-16,4
2012331N03157,BOPHA,2012,2012-12-03,2012-12-10,6
2012359N08134,WUKONG,2012,2012-12-24,2012-12-30,4
2013001N04141,SONAMU,2013,2013-01-01,2013-01-11,8
2013049N05131,SHANSHAN,2013,2013-02-18,2013-02-24,4
2013171N15117,BEBINCA,2013,2013-06-18,2013-06-25,5
2013178N09133,RUMBIA,2013,2013-06-28,2013-07-03,4
2013187N20156,SOULIK,2013,2013-07-11,2013-07-14,1
2013196N14128,CIMARON,2013,2013-07-14,2013-07-19,3
2013210N13122,JEBI,2013,2013-07-27,2013-08-04,6
2013217N11118,MANGKHUT,2013,2013-08-04,2013-08-09,4
2013220N12137,UTOR,2013,2013-08-10,2013-08-19,8
2013228N23124,TRAMI,2013,2013-08-15,2013-08-25,9
2013237N11129,KONG-REY,2013,2013-08-25,2013-08-29,3
2013243N26122,TORAJI,2013,2013-08-30,2013-09-01,1
2013260N15112,UNNAMED,2013,2013-09-16,2013-09-20,3
2013259N17132,USAGI,2013,2013-09-19,2013-09-25,4
2013269N15118,WUTIP,2013,2013-09-24,2013-10-02,6
2013282N14132,NARI,2013,2013-10-09,2013-10-17,6
2013301N13142,KROSA,2013,2013-10-29,2013-11-05,5
2013305N07141,UNNAMED,2013,2013-11-03,2013-11-09,4
2013306N07162,HAIYAN,2013,2013-11-07,2013-11-12,4
2013316N06130,PODUL,2013,2013-11-11,2013-11-16,3
